City,year,month,crime_count,is_hotspot,prev_month_crime,risk_score,risk_score_norm,risk_level,alert_flag,alert_message
Agra,2020.0,1.0,5,0,0.0,3.0,0.05172413793103449,Low,0,Low crime risk.
Agra,2020.0,2.0,2,0,5.0,3.2,0.056034482758620704,Low,0,Low crime risk.
Agra,2020.0,3.0,7,0,2.0,5.0,0.09482758620689656,Low,0,Low crime risk.
Agra,2020.0,4.0,3,0,7.0,4.6,0.08620689655172414,Low,0,Low crime risk.
Agra,2020.0,5.0,7,0,3.0,5.4,0.10344827586206898,Low,0,Low crime risk.
Agra,2020.0,6.0,6,0,7.0,6.4,0.12500000000000003,Low,0,Low crime risk.
Agra,2020.0,7.0,8,0,6.0,7.2,0.14224137931034483,Low,0,Low crime risk.
Agra,2020.0,8.0,10,0,8.0,9.2,0.1853448275862069,Low,0,Low crime risk.
Agra,2020.0,9.0,8,0,10.0,8.8,0.1767241379310345,Low,0,Low crime risk.
Agra,2020.0,10.0,5,0,8.0,6.2,0.12068965517241381,Low,0,Low crime risk.
Agra,2020.0,11.0,7,0,5.0,6.2,0.12068965517241381,Low,0,Low crime risk.
Agra,2020.0,12.0,3,0,7.0,4.6,0.08620689655172414,Low,0,Low crime risk.
Agra,2021.0,2.0,4,0,3.0,3.6,0.06465517241379311,Low,0,Low crime risk.
Agra,2021.0,3.0,6,0,4.0,5.199999999999999,0.09913793103448275,Low,0,Low crime risk.
Agra,2021.0,4.0,13,0,6.0,10.2,0.20689655172413793,Low,0,Low crime risk.
Agra,2021.0,5.0,9,0,13.0,10.6,0.21551724137931036,Low,0,Low crime risk.
Agra,2021.0,6.0,6,0,9.0,7.199999999999999,0.14224137931034483,Low,0,Low crime risk.
Agra,2021.0,7.0,5,0,6.0,5.4,0.10344827586206898,Low,0,Low crime risk.
Agra,2021.0,8.0,4,0,5.0,4.4,0.08189655172413794,Low,0,Low crime risk.
Agra,2021.0,9.0,3,0,4.0,3.4,0.060344827586206906,Low,0,Low crime risk.
Agra,2021.0,10.0,7,0,3.0,5.4,0.10344827586206898,Low,0,Low crime risk.
Agra,2021.0,11.0,7,0,7.0,7.0,0.13793103448275862,Low,0,Low crime risk.
Agra,2021.0,12.0,6,0,7.0,6.4,0.12500000000000003,Low,0,Low crime risk.
Agra,2022.0,1.0,8,0,6.0,7.2,0.14224137931034483,Low,0,Low crime risk.
Agra,2022.0,2.0,4,0,8.0,5.6,0.10775862068965518,Low,0,Low crime risk.
Agra,2022.0,3.0,6,0,4.0,5.199999999999999,0.09913793103448275,Low,0,Low crime risk.
Agra,2022.0,4.0,2,0,6.0,3.6000000000000005,0.06465517241379312,Low,0,Low crime risk.
Agra,2022.0,5.0,5,0,2.0,3.8,0.06896551724137931,Low,0,Low crime risk.
Agra,2022.0,6.0,5,0,5.0,5.0,0.09482758620689656,Low,0,Low crime risk.
Agra,2022.0,7.0,7,0,5.0,6.2,0.12068965517241381,Low,0,Low crime risk.
Agra,2022.0,8.0,7,0,7.0,7.0,0.13793103448275862,Low,0,Low crime risk.
Agra,2022.0,9.0,5,0,7.0,5.800000000000001,0.11206896551724141,Low,0,Low crime risk.
Agra,2022.0,10.0,5,0,5.0,5.0,0.09482758620689656,Low,0,Low crime risk.
Agra,2022.0,11.0,10,0,5.0,8.0,0.15948275862068967,Low,0,Low crime risk.
Agra,2022.0,12.0,11,0,10.0,10.6,0.21551724137931036,Low,0,Low crime risk.
Agra,2023.0,1.0,4,0,11.0,6.800000000000001,0.13362068965517243,Low,0,Low crime risk.
Agra,2023.0,2.0,10,0,4.0,7.6,0.15086206896551724,Low,0,Low crime risk.
Agra,2023.0,3.0,3,0,10.0,5.8,0.11206896551724138,Low,0,Low crime risk.
Agra,2023.0,4.0,2,0,3.0,2.4000000000000004,0.03879310344827588,Low,0,Low crime risk.
Agra,2023.0,5.0,4,0,2.0,3.2,0.056034482758620704,Low,0,Low crime risk.
Agra,2023.0,6.0,6,0,4.0,5.199999999999999,0.09913793103448275,Low,0,Low crime risk.
Agra,2023.0,7.0,4,0,6.0,4.800000000000001,0.09051724137931037,Low,0,Low crime risk.
Agra,2023.0,8.0,9,0,4.0,7.0,0.13793103448275862,Low,0,Low crime risk.
Agra,2023.0,9.0,6,0,9.0,7.199999999999999,0.14224137931034483,Low,0,Low crime risk.
Agra,2023.0,10.0,6,0,6.0,6.0,0.1163793103448276,Low,0,Low crime risk.
Agra,2023.0,11.0,6,0,6.0,6.0,0.1163793103448276,Low,0,Low crime risk.
Agra,2023.0,12.0,2,0,6.0,3.6000000000000005,0.06465517241379312,Low,0,Low crime risk.
Agra,2024.0,1.0,6,0,2.0,4.3999999999999995,0.08189655172413793,Low,0,Low crime risk.
Agra,2024.0,2.0,4,0,6.0,4.800000000000001,0.09051724137931037,Low,0,Low crime risk.
Agra,2024.0,3.0,5,0,4.0,4.6,0.08620689655172414,Low,0,Low crime risk.
Agra,2024.0,4.0,7,0,5.0,6.2,0.12068965517241381,Low,0,Low crime risk.
Agra,2024.0,5.0,7,0,7.0,7.0,0.13793103448275862,Low,0,Low crime risk.
Agra,2024.0,6.0,5,0,7.0,5.800000000000001,0.11206896551724141,Low,0,Low crime risk.
Agra,2024.0,7.0,5,0,5.0,5.0,0.09482758620689656,Low,0,Low crime risk.
Ahmedabad,2020.0,1.0,17,0,0.0,10.2,0.20689655172413793,Low,0,Low crime risk.
Ahmedabad,2020.0,2.0,7,0,17.0,11.0,0.22413793103448276,Low,0,Low crime risk.
Ahmedabad,2020.0,3.0,11,0,7.0,9.4,0.18965517241379312,Low,0,Low crime risk.
